,smiles,Biodegradation
171,CNCC(O)C(O)C(O)C(O)CO,1
172,CCCCCCCCO,1
173,O=C(O)C(O)c1ccccc1Cl,0
174,CCCCCCCCCCCCOP(=O)(O)O,1
175,NNC(=O)NN,1
176,Clc1ccc(Oc2cccc(Cl)c2)cc1,0
177,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,0
178,c1ccc2c(c1)Sc1ccccc1S2,0
179,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,0
180,CCCCN1CCCC1=O,1
181,COc1ccccc1O,1
182,O=C(O)CCCCCCCCCCCCC(=O)O,1
183,Cc1ccc(S(=O)(=O)NCCCCCC(=O)O)cc1,0
184,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,1
185,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,0
186,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0
187,NCc1cccc(CN)c1,0
188,CN(C)C(CSC(N)=O)CSC(N)=O,0
189,Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0
190,O=C(O)CC(CP1(=O)Oc2ccccc2-c2ccccc21)C(=O)O,0
191,C=C(C)C(=O)OCCOCCOCCOCC,1
192,CCOC(OCC)OCC,1
193,C=CC(C)CCCC(C)(C)O,1
194,FC(F)(F)C(Cl)Cl,0
195,COP(=S)(OC)SCn1nnc2ccccc2c1=O,1
196,O=P(OCCCl)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl,0
197,CN(C(=S)SSC(=S)N(C)c1ccccc1)c1ccccc1,0
198,O=C1CNC(=O)N1,1
199,CC(C)=CCCC(C)CCO,1
200,CCC(CO)(CO)COCC(CC)(CO)CO,0
201,Cc1cc(NC(=O)Nc2ccc(/N=N/c3cc(S(=O)(=O)O)c4cccc(S(=O)(=O)O)c4c3)c(C)c2)ccc1/N=N/c1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1,0
202,CCCCC(O)CO,1
203,C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC,1
204,O=C(O)CCS,1
205,C=C(C)C(=O)OC(C)(C)C,0
206,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1C(=O)CO,0
207,CCCCC(CC)CN(CC(CC)CCCC)Cn1cncn1,0
208,CC1C2C=CC1C(C(=O)O)C2C(=O)O,0
209,O=C(OCC1CCC2OC2C1)C1CCC2OC2C1,0
210,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,1
211,CCCCCCCCC(CCCCCC)C(=O)Nc1cc(C)ccc1O,0
212,N#CC(c1ccccc1)c1ccccc1,0
213,CC(=O)NC1C(O)OC(CO)C(O)C1O,1
214,COC(=O)CC(=O)C(C)(C)C,0
215,NNC(=O)CCCCC(=O)NN,0
216,CC(C)c1ccccc1OP(=O)(Oc1ccccc1C(C)C)Oc1ccccc1C(C)C,0
217,CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C,0
218,Clc1ccc(OCOCC#CI)cc1,0
219,CC(C)COC(=S)S,1
220,O=C(Cl)CCCCl,1
221,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,0
222,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1S(=O)(=O)O,0
223,Cc1ccc(O)c(C)c1,1
224,Nc1ccc(Cl)cc1C(=O)O,0
225,O=c1c2ccccc2c2ccc3sc4ccccc4c4ccc1c2c34,0
226,CCOC(=O)C1=NN(c2ccccc2)C(=O)C1,1
227,CC(=O)C(/N=N/c1cc(Cl)c(-c2cc(Cl)c(/N=N/C(C(C)=O)C(=O)Nc3ccc(C)cc3C)cc2Cl)cc1Cl)C(=O)Nc1ccc(C)cc1C,0
228,CNC(=O)CC(C)=O,1
229,CCCCO[P+](=O)OCCCC,0
230,CC(O)CN,1
231,O=C=Nc1ccc(Cl)c(Cl)c1,0
232,OCC(CO)(CBr)CBr,0
233,C[N+](C)(C)C,1
234,CCN(CC)CCCNc1nc(NCCCN(CC)CC)nc(Nc2ccc3c(O)c(/N=N/c4ccc5[nH]c(=O)[nH]c5c4)c(S(=O)(=O)O)cc3c2)n1,0
235,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,1
236,CNCCO,1
237,CC1(C)SC2C(N)C(=O)N2C1C(=O)O,0
238,CC/C=C/CCOC(=O)c1ccccc1O,1
239,O=C(O)c1c(Cl)cccc1Cl,0
240,COCCCOc1cc(CC(CC(N[N+]#N)C2CC(C(C)C)C(=O)O2)C(C)C)ccc1OC,0
241,CC(C)(N)CO,0
242,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,0
243,O=C=NCCCCCCN=C=O,0
244,NC(N)=NCCCC(N)C(=O)O,1
245,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,1
246,N#Cc1ccccc1C#N,0
247,C=CC(=O)OC,1
248,COC(=O)OC,1
249,CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,0
250,O=[N+]([O-])c1ccccc1Cl,0
251,CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1,0
252,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,0
253,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
254,CC(C)(C)c1ccc(O)c(O)c1,0
255,N#Cc1ccc(O)cc1,1
256,CCOC(=O)CN(CC(=O)OCC)C(=O)Oc1c(C#N)c(C(=O)O)c2n1NC(c1ccc(C(C)(C)C)cc1)(C1CC(C)CCC1(C(C)(C)C)C(C)(C)C)N2,0
257,NCC1CCC(C(=O)O)CC1,0
258,CC(C)(C)C=O,1
259,C=C(Cl)Cl,0
260,CC(=O)Nc1ccc(S(=O)(=O)O)cc1,0
261,NCCNCCN,0
262,O=C(O)c1ccc2c(c1)C(=O)OC2=O,1
263,C=C(C)C(=O)OCC,1
264,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,0
265,O=CC1CCOC1,1
266,C=C(C)C(=O)OCCN,1
267,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,0
268,CCCCCCOCCOCCO,1
269,CC(C)OC(C)C,0
270,NCC(=O)NC(CCC(N)=O)C(=O)O,1
271,Cc1ccc(C)c(Cc2ccccc2)c1,0
272,C=CC(=O)OC1C=CC2C3CCC(C3)C12,0
273,N#CCc1ccc(Cl)cc1,0
274,COc1cccc(OC)c1,1
275,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(C(=O)OCc1ccccc1)C(C)C,0
276,O=C1Cc2ccccc2O1,1
277,CCCCCCCCCCCCCCCC(=O)OC(C)C,1
278,CCC(C)N=O,0
279,COc1ccc(OC)c(Cl)c1,0
280,CC(=O)Oc1c(C)ncc2c1COC(C(C)C)OC2,0
281,CNC(C)C(O)c1ccccc1,1
282,CCOC(=O)C(F)F,1
283,CCCCCCCCC#N,1
284,CC1=CC(=O)CC(C)(C)C1,0
285,N#Cc1cccc(C2=NC(=O)C3=C(c4cccc(C#N)c4)NC(=O)C23)c1,0
286,O=C1CCCCCN1,1
287,CN(O)CCO,1
288,O=C=NCc1cccc(CN=C=O)c1,0
289,NCCN1CCNCC1,0
290,OC(c1ccccc1)c1ccc(Cl)cc1,0
291,CC(CO)(CO)CO,0
292,COC(=O)C(C)(C)c1ccc(Br)cc1,0
293,Nc1ccccn1,0
294,CC(C)(C)C(=O)OC1CCC2(C)C(=CC(O)C3C2CCC2(C)C(=O)C4CC4C32)C1,0
295,CCCCCC(=O)O,1
296,C=CC(C)(O)CCC=C(C)C,1
297,COC(=O)Nc1cccc(C)c1,1
298,O=C(ON=C1C=CC(=NOC(=O)c2ccccc2)C=C1)c1ccccc1,0
299,CC(C)(C)CC(C)(C)OO,0
300,N#CCCN(CCOC(=O)c1ccccc1)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,0
301,N#CCCCCC#N,1
302,COC(=O)c1ccccc1OS(=O)(=O)c1ccc(O)cc1,0
303,COC(=O)CCl,1
304,CCCCOC(=O)CC(C)=O,1
305,S=C(S)NCCNC(=S)S,0
306,O=C(O)c1ccc(Sc2ccccc2)cc1,1
307,CCCCOC(=O)c1ccc(C(=O)OCCCC)c(C(=O)OCCCC)c1,1
308,C=C(C)C(=O)OCCN(C)C,1
309,Nc1ccc2c(S(=O)(=O)O)cccc2c1S(=O)(=O)O,0
310,C=CC(=O)NCCCN(C)C,0
311,Cl/C=C/Cl,0
312,CC(C)C(=O)OCCOc1ccccc1,1
313,CC(CCO)CCc1ccccc1,1
314,CCCCCCCCCCCCOCCCCCCCCCCCC,1
315,CNC(=O)CC#N,0
316,C=C(C)C(=O)OC1CCCCC1,1
317,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,1
318,Nc1c(Cl)cc(-c2cc(Cl)c(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,0
319,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC9C(CO)OC(OC1C(O)C2O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,1
320,CC/C=C/CCOC(=O)C/C=C/CC,1
321,CC1C(C=O)CC2CC1C2(C)C,0
322,N#[N+]c1c([O-])[nH]c(=O)[nH]c1=O,0
323,CC(C)c1ccc(N)cc1,0
324,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)cc1N,0
325,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0
326,O=[N+]([O-])c1ccc(O)cc1,0
327,CCCCO,1
328,c1ccc2c(c1)-c1cccc3cccc-2c13,0
329,Cc1ccc(O)cc1[N+](=O)[O-],0
330,Nc1ccc([N+](=O)[O-])cc1Cl,0
331,C/C=C/CCc1ccc(-c2ccc(C)cc2)cc1,0
332,O=C(O)CBr,1
333,Oc1ccc(Cl)cc1O,0
334,CCOCCOCCOC(=O)C1CCC(C(=O)OCCOCCOCC)CC1,0
335,CC1OC(C)OC(C)OC(C)O1,0
336,Nc1ncn[nH]1,0
337,Oc1ccc(Cc2ccccc2)cc1,0
338,CC(C)=O,1
339,C=C(C)c1ccc(O)cc1,0
340,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0
341,CCC(N)CO,1
342,N#CCCOCCC#N,1
343,Cc1ccc(C)c(N)c1,0
344,CCc1cccc(C)c1Nc1ccc(Nc2c(C)cccc2CC)c2c1C(=O)c1ccccc1C2=O,0
345,C/C=C1\CC2C=CC1C2,0
346,CCCCCCCCCCCCc1ccccc1,1
347,FC(F)(Cl)C(F)(F)Cl,0
348,CCCCCCCCCC[N+](C)(C)Cc1ccccc1,0
349,C=C1COC2(OCCCO2)OC1,0
350,S=C(SSSSSSC(=S)N1CCCCC1)N1CCCCC1,0
351,CCNc1cccc2ccccc12,0
352,CC(CO)Cc1ccc(C(C)(C)C)cc1,1
353,COC(C)CCO,1
354,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,0
355,C=Cc1ccccc1CC,0
356,CCC(=O)OC(=O)CC,1
357,CC(=O)/C=C/C1=C(C)CCCC1(C)C,1
358,CSc1ccccc1,0
359,CNCCS(=O)(=O)O,1
360,Cc1ccc([N+](=O)[O-])cc1Cl,0
361,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,0
362,CC(=O)OC(C)c1ccccc1,1
363,O=C(O)CC(O)(CC(=O)O)C(=O)O,1
364,CCCCCCCCCCCC(=O)OC(C)CS(=O)(=O)O,1
365,C=CCOC(=O)C(C)(C)OC(=O)c1cc(N)ccc1Cl,0
366,O=C(c1ccc(O)cc1)c1ccc(O)c(O)c1O,0
367,CCCC[Sn](CCCC)(CCCC)OC(=O)C(Br)C(Br)C(=O)O[Sn](CCCC)(CCCC)CCCC,0
368,O=S(=O)(O)CCO,1
369,Cc1ccc(C=O)cc1C,1
370,CCCBr,1
371,CC(C)C(O)C(C)(C)CO,0
372,COc1cc(C(=O)O)cc(OC)c1O,1
373,CCOCCOCCOC(C)=O,1
374,COc1cc2[nH]c(=O)c(=O)[nH]c2cc1N,0
375,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC,0
376,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,0
377,CC(=O)OCC1OC(n2cc(C)c(=O)[nH]c2=O)CC1OC(C)=O,0
378,C=Cc1ccc(CC)cc1,0
379,CC(C)(C)OOC(=O)c1ccccc1,0
380,C=CC(C)(C)O,0
381,c1ccccc1,1
382,COP(=O)(OC)OC,0
383,C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
384,CNCCCN,1
385,Cc1ccc(S(=O)(=O)OC2CCC3(C)C(CCC4C5CCC(=O)C5(C)CCC43)C2)cc1,0
386,C=CC1CCC(C2CCC(CCCCC)CC2)CC1,0
387,Cc1cc(C(=O)C(F)(F)F)ccc1Cl,0
388,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,0
389,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,1
390,CCNC(=S)OC(C)C,0
391,C=C(C)c1ccccc1,0
392,Cc1cc(C)cc(OP(=O)(Oc2ccc(C)cc2C)Oc2cccc(C)c2C)c1,0
393,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0
394,CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1,0
395,NCCCCCCCCCCC(=O)O,1
396,CC(C)(C)OC(=O)NC(C(=O)N1C(C#N)CC2CC21)C12CC3CC(CC(O)(C3)C1)C2,0
397,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0
398,N#CCCN(CCC#N)c1ccc(/N=N/c2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1,0
399,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0
400,O=C(O)CCl,1
401,N=C(N)N(c1ccccc1)c1ccccc1,0
402,CCC(CC)C(=O)O,1
403,CC1=CCC(/C=C/C(C)(C)C(C)O)C1(C)C,0
404,C=CCOC(=O)C(C)(C)OC(=O)c1cc(N=C=O)ccc1Cl,0
405,CC1(C)OCC(CO)O1,0
406,COc1ccc(C(=O)Nc2ccc(C3N=NC(=O)CC3C)cc2[N+](=O)[O-])cc1,1
407,Clc1ccccc1,0
408,CCCCCCCCCCCCCC(=O)N(CCO)CCO,1
409,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
410,CCOC(=O)CC(=O)c1ccc(OC)cc1,1
411,CCC(C)N,1
412,CC(C)OC(=S)S,1
413,C=CC(=O)NCC(OC)OC,0
414,CCc1nc(CC)nc(NS(=O)(=O)c2ccc(N)cc2)n1,0
415,CC(C)C1CCCCC1,0
416,CC(C)(C1CCCO1)C1CCCO1,0
417,CCN1CN(CC)CN(CC)C1,1
418,CCCOC(=O)c1ccc(O)cc1,1
419,O=Cc1ccc(C=O)cc1,1
420,COC(=O)c1ccc(C(=O)OC)cc1,1
421,O=C(O)c1cnccn1,1
422,Cc1cccc(C(C)C)c1,0
423,O=C1N=C(Cc2ccccc2)C(=O)N1,1
424,CC(C)C(N)C(=O)OCc1ccccc1,1
425,OC(CCl)CCl,1
426,CC(=O)OC1CCCCC1C(C)(C)C,0
427,COC(=O)c1ccccc1C(=O)c1ccccc1,0
428,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,1
429,C1=CCC(C2OCC3(CO2)COC(C2CC=CCC2)OC3)CC1,1
430,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,0
431,COP(=S)(OC)Oc1ccc(C#N)cc1,0
432,O=C(CCl)c1ccc(Cl)cc1Cl,0
433,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0
434,BrCC(CBr)(CBr)CBr,0
435,CNc1cccc(C)c1,0
436,Nc1ccccc1C(=O)O,1
437,O=C(O)c1ccc[n+](Cc2ccccc2)c1,0
438,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)CCCC,0
439,CCOC(=O)C(Cl)(Cl)Cl,1
440,CCOC(=O)CCl,1
441,CCCCCCN,1
442,COc1ccc(C)cc1,1
443,CCCCNCC,1
444,COCN(COC)c1nc(N(COC)COC)nc(N(COC)COC)n1,0
445,CC1CCN(c2nc3cc(Cl)ccc3o2)CCN1,0
446,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,0
447,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0
448,ClCC(Cl)CCl,0
449,CC(=O)C(/N=N/c1ccc(-c2ccc(/N=N/C(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C,0
